word,label
how,SW
to,SW
grow,CUL
rice,CROP
?,.
jowar,CROP
how,SW
much,SW
water,IRR
to,SW
add,SW
for,SW
wheat,CROP
?,.
i,USR
best,SW
season,TIME
to,SW
grow,CUL
sugarcane,CROP
!,.
what,SW
is,SW
the,SW
yield,YLD
of,SW
rice,CROP
in,SW
belgaum,LOC
?,.
best,SW
pesticide,PEST
for,SW
cotton,CROP
.,.
best,SW
soil,SOIL
for,SW
cotton,CROP
.,.
how,SW
much,SW
fertilizer,FTLZ
should,SW
i,USR
add,SW
to,SW
my,SW
rice,CROP
crop,CROP
?,.
when,SW
to,SW
sow,SOW
cotton,CROP
?,.
when,SW
to,SW
harvest,REAP
wheat,CROP
?,.
how,SW
to,SW
enhance,BP
yield,YLD
of,SW
sugarcane,CROP
?,.
i,USR
want,SW
to,SW
grow,CUL
paddy,CROP
.,.
how,SW
to,SW
grow,CUL
maize,CROP
?,.
which,SW
fertilizer,FTLZ
can,SW
i,USR
use,SW
for,SW
sugarcane,CROP
?,.
how,SW
is,SW
the,SW
weather,WTR
today,TIME
?,.
how,SW
is,SW
the,SW
weather,WTR
tomorrow,TIME
?,.
what,SW
is,SW
the,SW
weather,WTR
in,SW
mysore,LOC
this,ADJ
week,TIME
?,.
weather,WTR
this,ADJ
week,TIME
.,.
weather,WTR
forecast,SW
for,SW
the,SW
week,TIME
.,.
how,SW
is,SW
the,SW
climate,WTR
today,TIME
?,.
climate,WTR
conditions,SW
for,SW
the,SW
upcoming,ADJ
days,TIME
.,.
weather,WTR
report,SW
for,SW
the,SW
day,TIME
.,.
will,SW
it,SW
rain,RAIN
today,TIME
?,.
is,SW
it,SW
going,SW
to,SW
be,SW
sunny,SW
this,ADJ
week,TIME
?,.
what,SW
will,SW
the,SW
weather,WTR
be,SW
like,SW
this,ADJ
week,TIME
?,.
can,SW
i,USR
expect,SW
it,SW
to,SW
be,SW
sunny,SW
today,TIME
?,.
which,SW
is,SW
the,SW
season,TIME
for,SW
growing,CUL
rice,CROP
?,.
season,TIME
for,SW
growing,CUL
wheat,CROP
.,.
how,SW
much,SW
cotton,CROP
seeds,SEED
are,SW
needed,SW
for,SW
one,QTY
acre,MSR
of,SW
land,SW
?,.
can,SW
i,USR
grow,CUL
rice,CROP
in,SW
red,ADJ
soil,SOIL
?,.
best,SW
soil,SOIL
for,SW
growing,CUL
maize,CROP
.,.
irrigation,IRR
for,SW
sugarcane,CROP
.,.
,
which,SW
are,SW
the,SW
available,SW
seed,SEED
varieties,TYPE
for,SW
rice,CROP
?,.
rice,CROP
varieties,TYPE
.,.
different,TYPE
types,TYPE
of,SW
wheat,CROP
seeds,SEED
.,.
types,TYPE
of,SW
seeds,SEED
of,SW
cotton,CROP
.,.
which,SW
cotton,CROP
seed,SEED
grows,CUL
well,SW
in,SW
black,ADJ
soil,SOIL
?,.
how,SW
long,TIME
does,SW
it,SW
take,SW
to,SW
grow,CUL
rice,CROP
?,.
how,SW
many,SW
months,TIME
does,SW
sugarcane,CROP
take,SW
?,.
time,TIME
taken,SW
to,SW
grow,CUL
paddy,CROP
.,.
which,SW
month,TIME
to,SW
reap,REAP
maize,CROP
.,.
cost,COST
of,SW
sunflower,CROP
seeds,SEED
.,.
best,SW
places,LOC
to,SW
grow,CUL
cotton,CROP
.,.
how,SW
much,SW
rainfall,RAIN
does,SW
cotton,CROP
need,SW
?,.
fertilizer,FTLZ
dose,SW
for,SW
maize,CROP
.,.
attack,DS
of,SW
insects,DS
on,SW
rice,CROP
.,.
protect,SW
against,SW
diseases,DS
.,.
weeds,DS
control,SW
.,.
weeds,DS
are,SW
growing,CUL
along,SW
with,SW
my,USR
crop,CROP
.,.
leaves,DS
are,SW
falling,SW
off,SW
from,SW
wheat,CROP
crop,CROP
.,.
caterpillars,DS
are,SW
eating,SW
all,SW
leaves,DS
.,.
what,SW
is,SW
the,SW
market,SW
price,COST
of,SW
rice,CROP
?,.
how,SW
much,SW
is,SW
the,SW
cost,COST
of,SW
10,QTY
kg,MSR
of,SW
wheat,CROP
?,.
what,SW
are,SW
the,SW
price,COST
of,SW
sugarcane,CROP
?,.
market,SW
price,COST
of,SW
cotton,CROP
in,SW
belgaum,LOC
.,.
attack,DS
of,SW
Stemborer,DS
on,SW
sugarcane,CROP
.,.
when,TIME
to,SW
cultivate,CUL
maize,CROP
?,.
ideal,SW
rainfall,RAIN
for,SW
cotton,CROP
?,.
which,SW
season,TIME
to,SW
grow,CUL
rice,CROP
in,SW
?,.
how,SW
to,SW
improve,BP
rice,CROP
production,YLD
?,.
market,SW
price,COST
of,SW
maize,CROP
?,.
will,SW
there,SW
be,SW
timely,SW
rain,RAIN
?,.
types,TYPE
of,SW
sugarcane,CROP
.,.
cost,COST
of,SW
wheat,CROP
in,SW
market,SW
?,.
crops,CROP
which,SW
need,SW
low,ADJ
rainfall,RAIN
amount,SW
of,SW
rainfall,RAIN
paddy,CROP
needs,SW
high,ADJ
rainfall,RAIN
crops,CROP
does,SW
sugarcane,CROP
grow,CUL
in,SW
low,ADJ
rain,RAIN
?,.
fertilizer,FTLZ
dose,SW
for,SW
ragi,CROP
which,SW
pesticide,PEST
to,SW
use,SW
for,SW
cotton,CROP
can,SW
i,USR
grow,CUL
wheat,CROP
in,SW
red,ADJ
soil,SOIL
?,.
jowar,CROP
best,SW
soil,SOIL
for,SW
growing,CUL
sunflower,CROP
.,.
irrigation,IRR
for,SW
maize,CROP
.,.
which,SW
are,SW
the,SW
available,SW
seed,SEED
varieties,TYPE
for,SW
paddy,CROP
?,.
best,SW
fertilizer,FTLZ
for,SW
ragi,CROP
varieties,TYPE
.,.
different,TYPE
types,TYPE
of,SW
wheat,CROP
seeds,SEED
.,.
fertilizer,FTLZ
and,SW
pesticide,PEST
for,SW
rice,CROP
rice,CROP
seed,SEED
quantity,QTY
for,SW
land,SW
how,SW
much,SW
maize,CROP
seeds,SEED
to,SW
use,SW
for,SW
one,QTY
hector,MSR
?,.
ideal,SW
weather,WTR
for,SW
sugarcane,CROP
?,.
best,SW
weather,WTR
for,SW
rice,CROP
which,SW
is,SW
the,SW
best,SW
rice,CROP
variety,TYPE
for,SW
red,ADJ
soil,SOIL
?,.
which,SW
maize,CROP
seed,SEED
variety,TYPE
has,SW
highest,ADJ
yield,YLD
?,.
which,SW
crop,CROP
has,SW
high,ADJ
yield,YLD
?,.
how,SW
to,SW
improve,BP
sugarcane,CROP
production,YLD
?,.
how,SW
to,SW
get,SW
more,ADJ
cotton,CROP
yield,YLD
?,.
cotton,CROP
variety,TYPE
with,SW
highest,ADJ
yield,YLD
month,SW
to,SW
grow,CUL
maize,CROP
how,SW
is,SW
the,SW
weather,WTR
?,.
will,SW
it,SW
rain,RAIN
this,ADJ
weekend,TIME
cashew,CROP
coconut,CROP
arecanuts,CROP
chilly,CROP
tobacco,CROP
soyabean,CROP
cardamom,CROP
?,.
pesticide,PEST
to,SW
use,SW
for,SW
maize,CROP
.,.
fertilizer,FTLZ
for,SW
ragi,CROP
field,SW
?,.
required,SW
rainfall,RAIN
for,SW
sugarcane,CROP
.,.
weather,WTR
this,SW
week,TIME
!,.
my,USR
name,INT
is,SW
ram,NAME
!,.
hi,GREET
i,USR
am,SW
vaishnavi,NAME
!,.
hey,GREET
hello,GREET
namaste,GREET
heya,GREET
wassup,QA
?,.
cashew,CROP
coconut,CROP
arecanuts,CROP
chilly,CROP
tobacco,CROP
soyabean,CROP
cardamom,CROP
groundnut,CROP
gram,CROP
peas,CROP
green,ADJ
chick,ADJ
yellow,ADJ
black,ADJ
